shift,pairs,true_matches,pct_true
-10,21161,6681,31.572231936108878
-9,11827,2981,25.20503931681745
-8,14942,2661,17.808860928925178
-7,13978,3118,22.306481613964802
-6,17836,3605,20.211930926216642
-5,18243,3984,21.83851340240092
-4,21698,4240,19.54097151811227
-3,22565,4818,21.351650786616442
-2,53666,20674,38.52345991875676
-1,62105,22504,36.2354077771516
0,7926598,5574769,70.32990697900915
1,227816,23904,10.492678301787407
2,217964,23489,10.77655025600558
3,171001,4718,2.7590481927006274
4,168854,4231,2.5057149963874115
5,165468,3731,2.2548166412841155
6,20172,3683,18.257981360301407
7,160312,3291,2.052871899795399
8,16427,2663,16.211115845863517
9,154483,1909,1.2357346763074255
10,18184,2993,16.459524857017158
11,154079,1816,1.1786161644351274
12,12599,1667,13.23120882609731
13,150915,1608,1.065500447271643
14,10988,1683,15.316709137240625
15,10782,1667,15.460953440920052
16,10139,1669,16.461189466416805
17,9757,1699,17.41313928461617
18,9405,1649,17.53322700691122
19,9703,1514,15.603421622178708
20,12451,2546,20.44815677455626
21,114989,941,0.8183391454834811
22,7809,999,12.792931233192471
